Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
92620000,650422,Metropolis,8,1927/1/10,1927,0
380000000,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,2011/5/14,2011,7103.62202
300000000,961000000,Pirates of the Caribbean: At World's End,6.9,2007/5/19,2007,4383.529869
270000000,391081192,Superman Returns,5.4,2006/6/28,2006,1555.519755
200000000,1845034188,Titanic,7.5,1997/11/18,1997,324.6438211
258000000,890871626,Spider-Man 3,5.9,2007/5/1,2007,3171.497068
175000000,264218220,Waterworld,5.9,1995/7/28,1995,3043.248683
260000000,591794936,Tangled,7.4,2010/11/24,2010,550.1293702
250000000,933959197,Harry Potter and the Half-Blood Prince,7.4,2009/7/7,2009,5985.424893
200000000,435000000,Terminator 3: Rise of the Machines,5.9,2003/7/2,2003,5136.217883
260000000,284139100,John Carter,6.1,2012/3/7,2012,446.6666822
237000000,2787965087,Avatar,7.2,2009/12/10,2009,955.7387481
280000000,1405403694,Avengers: Age of Ultron,7.3,2015/4/22,2015,6120.079452
207000000,550000000,King Kong,6.6,2005/12/14,2005,693.250948
200000000,783766341,Spider-Man 2,6.7,2004/6/25,2004,1903.862354
225000000,419651413,The Chronicles of Narnia: Prince Caspian,6.3,2008/5/15,2008,1003.562491
210000000,459359555,X-Men: The Last Stand,6.3,2006/5/24,2006,5197.240468
250000000,1021103568,The Hobbit: An Unexpected Journey,7,2012/11/26,2012,6092.421268
250000000,1084939099,The Dark Knight Rises,7.6,2012/7/16,2012,3066.433825
170000000,222104681,Wild Wild West,5.1,1999/6/29,1999,3130.540091
160000000,164508066,Speed 2: Cruise Control,4.1,1997/6/13,1997,1131.231418
255000000,89289910,The Lone Ranger,5.9,2013/7/3,2013,8543.659149
250000000,958400000,The Hobbit: The Desolation of Smaug,7.6,2013/12/11,2013,7103.693698
200000000,1065659812,Pirates of the Caribbean: Dead Man's Chest,7,2006/6/20,2006,3003.07531
250000000,956019788,The Hobbit: The Battle of the Five Armies,7.1,2014/12/10,2014,7988.341126
250000000,747862775,X-Men: Days of Future Past,7.5,2014/5/15,2014,3703.711514
160000000,61698899,The 13th Warrior,6.4,1999/8/27,1999,782.5346567
200000000,586090727,Quantum of Solace,6.1,2008/10/30,2008,1499.301013
225000000,624026776,Men in Black 3,6.2,2012/5/23,2012,6918.940124
245000000,880674609,Spectre,6.3,2015/10/26,2015,3853.620579
250000000,1153304495,Captain America: Civil War,7.1,2016/4/27,2016,7446.875631
250000000,873260194,Batman v Superman: Dawn of Justice,5.7,2016/3/23,2016,3144.889918
