Budget,Release Year,Revenue,Title,Starring Actors Popularity
92620000,1927,650422,Metropolis,0.0
380000000,2011,1045713802,Pirates of the Caribbean: On Stranger Tides,7103.62202
300000000,2007,961000000,Pirates of the Caribbean: At World's End,4383.529869
270000000,2006,391081192,Superman Returns,1555.519755
200000000,1997,1845034188,Titanic,324.6438211
258000000,2007,890871626,Spider-Man 3,3171.497068
175000000,1995,264218220,Waterworld,3043.248683
260000000,2010,591794936,Tangled,550.1293702
250000000,2009,933959197,Harry Potter and the Half-Blood Prince,5985.424893
200000000,2003,435000000,Terminator 3: Rise of the Machines,5136.217883
260000000,2012,284139100,John Carter,446.6666822
237000000,2009,2787965087,Avatar,955.7387481
280000000,2015,1405403694,Avengers: Age of Ultron,6120.079452
207000000,2005,550000000,King Kong,693.250948
200000000,2004,783766341,Spider-Man 2,1903.862354
225000000,2008,419651413,The Chronicles of Narnia: Prince Caspian,1003.562491
210000000,2006,459359555,X-Men: The Last Stand,5197.240468
250000000,2012,1021103568,The Hobbit: An Unexpected Journey,6092.421268
250000000,2012,1084939099,The Dark Knight Rises,3066.433825
170000000,1999,222104681,Wild Wild West,3130.540091
160000000,1997,164508066,Speed 2: Cruise Control,1131.231418
255000000,2013,89289910,The Lone Ranger,8543.659149
250000000,2013,958400000,The Hobbit: The Desolation of Smaug,7103.693698
200000000,2006,1065659812,Pirates of the Caribbean: Dead Man's Chest,3003.07531
250000000,2014,956019788,The Hobbit: The Battle of the Five Armies,7988.341126
250000000,2014,747862775,X-Men: Days of Future Past,3703.711514
160000000,1999,61698899,The 13th Warrior,782.5346567
200000000,2008,586090727,Quantum of Solace,1499.301013
225000000,2012,624026776,Men in Black 3,6918.940124
245000000,2015,880674609,Spectre,3853.620579
250000000,2016,1153304495,Captain America: Civil War,7446.875631
250000000,2016,873260194,Batman v Superman: Dawn of Justice,3144.889918
175000000,2004,497409852,Troy,3462.5235
180000000,2005,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.0
220000000,2012,1519557910,The Avengers,3271.135673
200000000,2009,371353001,Terminator Salvation,2293.025284
200000000,2009,769653595,2012,1053.91274
200000000,2009,325233863,A Christmas Carol,4688.48896
225000000,2013,662845518,Man of Steel,1534.639144
215000000,2012,752215857,The Amazing Spider-Man,539.2931687
200000000,2010,623933331,Iron Man 2,1975.6852
200000000,2010,1066969703,Toy Story 3,8130.049317
200000000,2010,1025491110,Alice in Wonderland,5659.226207
200000000,2010,310669540,Robin Hood,3293.841156
140000000,1998,285444603,Lethal Weapon 4,2712.73246
140000000,1998,553799566,Armageddon,2428.312728
165000000,2004,305875730,The Polar Express,6847.670612
209000000,2012,303025485,Battleship,12.08136404
180000000,2007,372234864,The Golden Compass,1480.527214
185000000,2008,1004558444,The Dark Knight,1039.424306
185000000,2008,786636033,Indiana Jones and the Kingdom of the Crystal Skull,6757.288383
200000000,2011,559852396,Cars 2,2840.478968
200000000,2011,219851172,Green Lantern,857.2982107
175000000,2007,173000000,Evan Almighty,2113.912775
180000000,2008,521311860,WALL·E,223.8488799
195000000,2011,1123746996,Transformers: Dark of the Moon,3589.350526
200000000,2012,1108561013,Skyfall,2830.887363
135000000,1999,361832400,The World Is Not Enough,2354.300944
210000000,2014,1091405097,Transformers: Age of Extinction,3495.435605
155000000,2004,167298192,Alexander,2015.246687
115000000,1994,378882411,True Lies,3692.008265
150000000,2003,424988211,The Matrix Revolutions,1862.487031
150000000,2003,738599701,The Matrix Reloaded,1862.487031
150000000,2003,212011111,Master and Commander: The Far Side of the World,1370.958891
133000000,1999,300135367,Stuart Little,1949.84188
125000000,1997,238207122,Batman & Robin,4825.359416
200000000,2013,743559607,Monsters University,2162.47456
200000000,2013,531865000,World War Z,6462.616784
200000000,2013,491868548,Oz: The Great and Powerful,3102.693966
200000000,2013,1215439994,Iron Man 3,4927.532435
140000000,2001,449220945,Pearl Harbor,1421.619609
175000000,2009,735099082,Up,381.0674566
175000000,2009,381509870,Monsters vs Aliens,1344.828223
175000000,2009,302469017,G.I. Joe: The Rise of Cobra,1595.951227
160000000,2006,181674817,Poseidon,1209.90887
150000000,2004,919838758,Shrek 2,4469.630794
137000000,2001,85131830,Final Fantasy: The Spirits Within,670.3597542
195000000,2013,197687603,Jack the Giant Slayer,4966.590993
200000000,2014,705717432,The Amazing Spider-Man 2,2035.060086
140000000,2002,109578115,Treasure Planet,85.58041798
140000000,2002,441818803,Men in Black II,3426.224691
140000000,2002,431971116,Die Another Day,3022.570878
139000000,2002,821708551,Spider-Man,1322.342907
100000000,1991,520000000,Terminator 2: Judgment Day,2528.280151
160000000,2007,798958165,Shrek the Third,5615.092412
185000000,2012,538983207,Brave,183.3074525
150000000,2005,374218673,Batman Begins,2146.003548
150000000,2005,895921036,Harry Potter and the Goblet of Fire,3862.158561
150000000,2005,314432665,Chicken Little,1470.924094
150000000,2005,474968763,Charlie and the Chocolate Factory,2223.95669
190000000,2013,467365246,Star Trek Into Darkness,3609.207752
145000000,2004,25819961,The Alamo,1175.94895
140000000,2003,456758981,The Last Samurai,6214.740322
140000000,2003,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,867.1581951
127500000,2000,354248063,Dinosaur,572.0436373
120000000,1998,363258859,A Bug's Life,267.8386221
116000000,1997,178127760,Dante's Peak,1533.618169
170000000,2010,400062763,TRON: Legacy,1446.113822
