Budget,Release Year,Revenue,Title,Starring Actors Popularity
300000000,2007,961000000,Pirates of the Caribbean: At World's End,4383.529869
270000000,2006,391081192,Superman Returns,1555.519755
200000000,1997,1845034188,Titanic,324.6438211
258000000,2007,890871626,Spider-Man 3,3171.497068
175000000,1995,264218220,Waterworld,3043.248683
250000000,2009,933959197,Harry Potter and the Half-Blood Prince,5985.424893
200000000,2003,435000000,Terminator 3: Rise of the Machines,5136.217883
237000000,2009,2787965087,Avatar,955.7387481
207000000,2005,550000000,King Kong,693.250948
200000000,2004,783766341,Spider-Man 2,1903.862354
225000000,2008,419651413,The Chronicles of Narnia: Prince Caspian,1003.562491
210000000,2006,459359555,X-Men: The Last Stand,5197.240468
170000000,1999,222104681,Wild Wild West,3130.540091
160000000,1997,164508066,Speed 2: Cruise Control,1131.231418
200000000,2006,1065659812,Pirates of the Caribbean: Dead Man's Chest,3003.07531
160000000,1999,61698899,The 13th Warrior,782.5346567
200000000,2008,586090727,Quantum of Solace,1499.301013
175000000,2004,497409852,Troy,3462.5235
180000000,2005,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.0
200000000,2009,371353001,Terminator Salvation,2293.025284
200000000,2009,769653595,2012,1053.91274
200000000,2009,325233863,A Christmas Carol,4688.48896
140000000,1998,285444603,Lethal Weapon 4,2712.73246
140000000,1998,553799566,Armageddon,2428.312728
165000000,2004,305875730,The Polar Express,6847.670612
180000000,2007,372234864,The Golden Compass,1480.527214
185000000,2008,1004558444,The Dark Knight,1039.424306
185000000,2008,786636033,Indiana Jones and the Kingdom of the Crystal Skull,6757.288383
175000000,2007,173000000,Evan Almighty,2113.912775
180000000,2008,521311860,WALL·E,223.8488799
135000000,1999,361832400,The World Is Not Enough,2354.300944
155000000,2004,167298192,Alexander,2015.246687
115000000,1994,378882411,True Lies,3692.008265
150000000,2003,424988211,The Matrix Revolutions,1862.487031
150000000,2003,738599701,The Matrix Reloaded,1862.487031
150000000,2003,212011111,Master and Commander: The Far Side of the World,1370.958891
133000000,1999,300135367,Stuart Little,1949.84188
125000000,1997,238207122,Batman & Robin,4825.359416
140000000,2001,449220945,Pearl Harbor,1421.619609
175000000,2009,735099082,Up,381.0674566
175000000,2009,381509870,Monsters vs Aliens,1344.828223
175000000,2009,302469017,G.I. Joe: The Rise of Cobra,1595.951227
160000000,2006,181674817,Poseidon,1209.90887
150000000,2004,919838758,Shrek 2,4469.630794
137000000,2001,85131830,Final Fantasy: The Spirits Within,670.3597542
140000000,2002,109578115,Treasure Planet,85.58041798
140000000,2002,441818803,Men in Black II,3426.224691
140000000,2002,431971116,Die Another Day,3022.570878
139000000,2002,821708551,Spider-Man,1322.342907
100000000,1991,520000000,Terminator 2: Judgment Day,2528.280151
160000000,2007,798958165,Shrek the Third,5615.092412
150000000,2005,374218673,Batman Begins,2146.003548
150000000,2005,895921036,Harry Potter and the Goblet of Fire,3862.158561
150000000,2005,314432665,Chicken Little,1470.924094
150000000,2005,474968763,Charlie and the Chocolate Factory,2223.95669
145000000,2004,25819961,The Alamo,1175.94895
140000000,2003,456758981,The Last Samurai,6214.740322
140000000,2003,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,867.1581951
127500000,2000,354248063,Dinosaur,572.0436373
120000000,1998,363258859,A Bug's Life,267.8386221
116000000,1997,178127760,Dante's Peak,1533.618169
150000000,2006,397850012,Mission: Impossible III,7539.442377
150000000,2006,599045960,Casino Royale,295.7174859
137000000,2003,245360480,Hulk,494.4995162
125000000,2000,546388105,Mission: Impossible II,4856.612478
149000000,2006,64459316,Flushed Away,5197.240468
123000000,2000,345141403,How the Grinch Stole Christmas,3210.630405
150000000,2007,585349010,I Am Legend,5951.460525
150000000,2007,623722818,Ratatouille,532.3927951
150000000,2007,938212738,Harry Potter and the Order of the Phoenix,4924.726433
150000000,2007,287594577,Bee Movie,2436.793552
150000000,2007,709709780,Transformers,23.43969559
125000000,2001,976475550,Harry Potter and the Philosopher's Stone,0.0
110000000,1997,333011068,Tomorrow Never Dies,1533.618169
120000000,2000,325756637,The Perfect Storm,759.6932112
130000000,2003,273339556,Bad Boys II,4024.524242
115000000,1999,924317558,Star Wars: Episode I - The Phantom Menace,660.1297795
150000000,2008,163712074,The Incredible Hulk,984.8319104
150000000,2008,309979994,Bolt,2577.579341
150000000,2008,624029371,Hancock,6584.095246
150000000,2008,333932083,The Curious Case of Benjamin Button,5556.699604
150000000,2008,603900354,Madagascar: Escape 2 Africa,4225.52758
120000000,2001,186053725,Atlantis: The Lost Empire,2340.729602
135000000,2005,76932943,Stealth,622.401877
100000000,1995,336529144,Batman Forever,1495.262591
130000000,2004,789804554,Harry Potter and the Prisoner of Azkaban,2784.157212
150000000,2009,836297228,Transformers: Revenge of the Fallen,2513.644383
150000000,2009,385680446,Star Trek,821.2966598
150000000,2009,413106170,Night at the Museum: Battle of the Smithsonian,5143.849481
150000000,2009,373062864,X-Men Origins: Wolverine,2091.259966
150000000,2009,356613439,Angels & Demons,7888.843687
150000000,2009,292817841,G-Force,751.6317296
105000000,1997,121214377,Starship Troopers,0.0
145000000,2008,401128639,The Mummy: Tomb of the Dragon Emperor,941.2390791
132000000,2005,591739379,War of the Worlds,6885.697845
140000000,2007,258022233,Rush Hour 3,1305.942367
98000000,1995,10017322,Cutthroat Island,360.1023614
120000000,2002,649398328,Star Wars: Episode II - Attack of the Clones,2060.049225
120000000,2002,169956806,Stuart Little 2,2573.283656
