Budget,Release Year,Revenue,Title,Starring Actors Popularity,profit
300000000,2007,961000000,Pirates of the Caribbean: At World's End,4383.529869,661000000
270000000,2006,391081192,Superman Returns,1555.519755,121081192
200000000,1997,1845034188,Titanic,324.6438211,1645034188
258000000,2007,890871626,Spider-Man 3,3171.497068,632871626
175000000,1995,264218220,Waterworld,3043.248683,89218220
250000000,2009,933959197,Harry Potter and the Half-Blood Prince,5985.424893,683959197
200000000,2003,435000000,Terminator 3: Rise of the Machines,5136.217883,235000000
237000000,2009,2787965087,Avatar,955.7387481,2550965087
207000000,2005,550000000,King Kong,693.250948,343000000
200000000,2004,783766341,Spider-Man 2,1903.862354,583766341
225000000,2008,419651413,The Chronicles of Narnia: Prince Caspian,1003.562491,194651413
210000000,2006,459359555,X-Men: The Last Stand,5197.240468,249359555
170000000,1999,222104681,Wild Wild West,3130.540091,52104681
160000000,1997,164508066,Speed 2: Cruise Control,1131.231418,4508066
200000000,2006,1065659812,Pirates of the Caribbean: Dead Man's Chest,3003.07531,865659812
160000000,1999,61698899,The 13th Warrior,782.5346567,-98301101
200000000,2008,586090727,Quantum of Solace,1499.301013,386090727
175000000,2004,497409852,Troy,3462.5235,322409852
180000000,2005,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.0,568806957
200000000,2009,371353001,Terminator Salvation,2293.025284,171353001
200000000,2009,769653595,2012,1053.91274,569653595
200000000,2009,325233863,A Christmas Carol,4688.48896,125233863
140000000,1998,285444603,Lethal Weapon 4,2712.73246,145444603
140000000,1998,553799566,Armageddon,2428.312728,413799566
165000000,2004,305875730,The Polar Express,6847.670612,140875730
180000000,2007,372234864,The Golden Compass,1480.527214,192234864
185000000,2008,1004558444,The Dark Knight,1039.424306,819558444
185000000,2008,786636033,Indiana Jones and the Kingdom of the Crystal Skull,6757.288383,601636033
175000000,2007,173000000,Evan Almighty,2113.912775,-2000000
180000000,2008,521311860,WALL·E,223.8488799,341311860
135000000,1999,361832400,The World Is Not Enough,2354.300944,226832400
155000000,2004,167298192,Alexander,2015.246687,12298192
115000000,1994,378882411,True Lies,3692.008265,263882411
150000000,2003,424988211,The Matrix Revolutions,1862.487031,274988211
150000000,2003,738599701,The Matrix Reloaded,1862.487031,588599701
150000000,2003,212011111,Master and Commander: The Far Side of the World,1370.958891,62011111
133000000,1999,300135367,Stuart Little,1949.84188,167135367
125000000,1997,238207122,Batman & Robin,4825.359416,113207122
140000000,2001,449220945,Pearl Harbor,1421.619609,309220945
175000000,2009,735099082,Up,381.0674566,560099082
175000000,2009,381509870,Monsters vs Aliens,1344.828223,206509870
175000000,2009,302469017,G.I. Joe: The Rise of Cobra,1595.951227,127469017
160000000,2006,181674817,Poseidon,1209.90887,21674817
150000000,2004,919838758,Shrek 2,4469.630794,769838758
137000000,2001,85131830,Final Fantasy: The Spirits Within,670.3597542,-51868170
140000000,2002,109578115,Treasure Planet,85.58041798,-30421885
140000000,2002,441818803,Men in Black II,3426.224691,301818803
140000000,2002,431971116,Die Another Day,3022.570878,291971116
139000000,2002,821708551,Spider-Man,1322.342907,682708551
100000000,1991,520000000,Terminator 2: Judgment Day,2528.280151,420000000
160000000,2007,798958165,Shrek the Third,5615.092412,638958165
150000000,2005,374218673,Batman Begins,2146.003548,224218673
150000000,2005,895921036,Harry Potter and the Goblet of Fire,3862.158561,745921036
150000000,2005,314432665,Chicken Little,1470.924094,164432665
150000000,2005,474968763,Charlie and the Chocolate Factory,2223.95669,324968763
145000000,2004,25819961,The Alamo,1175.94895,-119180039
140000000,2003,456758981,The Last Samurai,6214.740322,316758981
140000000,2003,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,867.1581951,515011224
127500000,2000,354248063,Dinosaur,572.0436373,226748063
120000000,1998,363258859,A Bug's Life,267.8386221,243258859
116000000,1997,178127760,Dante's Peak,1533.618169,62127760
150000000,2006,397850012,Mission: Impossible III,7539.442377,247850012
150000000,2006,599045960,Casino Royale,295.7174859,449045960
137000000,2003,245360480,Hulk,494.4995162,108360480
125000000,2000,546388105,Mission: Impossible II,4856.612478,421388105
149000000,2006,64459316,Flushed Away,5197.240468,-84540684
123000000,2000,345141403,How the Grinch Stole Christmas,3210.630405,222141403
150000000,2007,585349010,I Am Legend,5951.460525,435349010
150000000,2007,623722818,Ratatouille,532.3927951,473722818
150000000,2007,938212738,Harry Potter and the Order of the Phoenix,4924.726433,788212738
150000000,2007,287594577,Bee Movie,2436.793552,137594577
150000000,2007,709709780,Transformers,23.43969559,559709780
125000000,2001,976475550,Harry Potter and the Philosopher's Stone,0.0,851475550
110000000,1997,333011068,Tomorrow Never Dies,1533.618169,223011068
120000000,2000,325756637,The Perfect Storm,759.6932112,205756637
130000000,2003,273339556,Bad Boys II,4024.524242,143339556
115000000,1999,924317558,Star Wars: Episode I - The Phantom Menace,660.1297795,809317558
150000000,2008,163712074,The Incredible Hulk,984.8319104,13712074
150000000,2008,309979994,Bolt,2577.579341,159979994
150000000,2008,624029371,Hancock,6584.095246,474029371
150000000,2008,333932083,The Curious Case of Benjamin Button,5556.699604,183932083
150000000,2008,603900354,Madagascar: Escape 2 Africa,4225.52758,453900354
120000000,2001,186053725,Atlantis: The Lost Empire,2340.729602,66053725
135000000,2005,76932943,Stealth,622.401877,-58067057
100000000,1995,336529144,Batman Forever,1495.262591,236529144
130000000,2004,789804554,Harry Potter and the Prisoner of Azkaban,2784.157212,659804554
150000000,2009,836297228,Transformers: Revenge of the Fallen,2513.644383,686297228
150000000,2009,385680446,Star Trek,821.2966598,235680446
150000000,2009,413106170,Night at the Museum: Battle of the Smithsonian,5143.849481,263106170
150000000,2009,373062864,X-Men Origins: Wolverine,2091.259966,223062864
150000000,2009,356613439,Angels & Demons,7888.843687,206613439
150000000,2009,292817841,G-Force,751.6317296,142817841
105000000,1997,121214377,Starship Troopers,0.0,16214377
145000000,2008,401128639,The Mummy: Tomb of the Dragon Emperor,941.2390791,256128639
132000000,2005,591739379,War of the Worlds,6885.697845,459739379
140000000,2007,258022233,Rush Hour 3,1305.942367,118022233
98000000,1995,10017322,Cutthroat Island,360.1023614,-87982678
120000000,2002,649398328,Star Wars: Episode II - Attack of the Clones,2060.049225,529398328
120000000,2002,169956806,Stuart Little 2,2573.283656,49956806
100000000,1996,242295562,Eraser,4244.5466,142295562
100000000,1996,100138851,The Hunchback of Notre Dame,1880.666568,138851
130000000,2005,211643158,Kingdom of Heaven,1666.986592,81643158
130000000,2005,119269486,Sahara,1296.477128,-10730514
115000000,2001,274703340,Lara Croft: Tomb Raider,1549.821591,159703340
115000000,2001,562816256,"Monsters, Inc.",1307.575711,447816256
125000000,2004,544272402,The Day After Tomorrow,677.4300066,419272402
140000000,2008,585174222,Iron Man,606.658837,445174222
110000000,2000,215294342,The Patriot,3340.606064,105294342
120000000,2003,259175788,Charlie's Angels: Full Throttle,3722.62668,139175788
126000000,2005,162949164,The Island,3059.408255,36949164
115000000,2002,77628265,Windtalkers,2581.210066,-37371735
120000000,2004,347234916,"I, Robot",4339.666084,227234916
130000000,2007,289047763,Fantastic 4: Rise of the Silver Surfer,371.1985955,159047763
55000000,1978,300218018,Superman,873.5594984,245218018
125000000,2006,767820459,The Da Vinci Code,7265.071495,642820459
85000000,1993,137298489,Last Action Hero,3495.563001,52298489
90000000,1995,366101666,Die Hard: With a Vengeance,1092.608337,276101666
107000000,2001,87713825,Ali,3361.742715,-19286175
92000000,1996,494471524,Twister,667.0591621,402471524
116000000,2004,102000000,The Aviator,4179.063867,-14000000
100000000,1999,211989043,End of Days,5015.469248,111989043
100000000,1999,93700000,Bicentennial Man,4149.024849,-6300000
103000000,2000,457640427,Gladiator,197.902127,354640427
130000000,2008,49554002,Australia,2073.583111,-80445998
130000000,2008,631744560,Kung Fu Panda,2365.338722,501744560
80000000,1992,280000000,Batman Returns,884.6683923,200000000
95000000,1998,250288523,The Mask of Zorro,1459.531891,155288523
110000000,2003,407711549,X2,3227.219396,297711549
120000000,2006,461983149,Cars,860.7739797,341983149
100000000,2000,155464351,What Lies Beneath,8214.26295,55464351
100000000,2000,169327687,The Emperor's New Groove,868.9577933,69327687
130000000,2009,185258983,Watchmen,1361.71587,55258983
102000000,2001,147080413,Swordfish,2193.658063,45080413
90000000,1997,263920180,The Fifth Element,1717.47504,173920180
90000000,1997,140807547,The Devil's Own,7678.076521,50807547
90000000,1997,171120329,Contact,517.6116034,81120329
90000000,1997,589390539,Men in Black,2049.274093,499390539
110000000,2004,362744280,Ocean's Twelve,3462.5235,252744280
110000000,2004,103951461,Home on the Range,89.14720477,-6048539
110000000,2004,72178895,Around the World in 80 Days,1291.19361,-37821105
54000000,1980,190458706,Superman II,912.7666211,136458706
113000000,2005,850000000,Star Wars: Episode III - Revenge of the Sith,3059.408255,737000000
100000000,2001,362211740,Planet of the Apes,886.3693462,262211740
100000000,2001,235926552,A.I. Artificial Intelligence,146.4018779,135926552
70000000,1989,90000098,The Abyss,617.88754,20000098
102000000,2002,358372926,Minority Report,5809.25407,256372926
90000000,1998,304320254,Mulan,2107.833018,214320254
90000000,1998,250649836,Enemy of the State,2756.919583,160649836
90000000,1998,69131860,Babe: Pig in the City,72.05994502,-20868140
90000000,1998,142940100,Meet Joe Black,2064.989208,52940100
98000000,2001,433013274,The Mummy Returns,239.6992108,335013274
95000000,2000,190213455,Hollow Man,1384.364596,95213455
95000000,2000,76432727,The Road to El Dorado,384.2025593,-18567273
110000000,2005,478207520,Mr. & Mrs. Smith,4620.910772,368207520
120000000,2008,93945766,Speed Racer,534.1342186,-26054234
100000000,2002,7103973,The Adventures of Pluto Nash,4094.325049,-92896027
100000000,2002,193772504,Gangs of New York,3518.826707,93772504
100000000,2002,35168966,K-19: The Widowmaker,7985.771195,-64831034
100000000,2002,876688482,Harry Potter and the Chamber of Secrets,1535.617471,776688482
70000000,1990,240031094,Die Hard 2,318.4597531,170031094
105000000,2004,115772733,The Chronicles of Riddick,1697.028557,10772733
58000000,1984,25928721,The Cotton Club,0.0,-32071279
31115000,1963,71000000,Cleopatra,190.9742745,39885000
85000000,1997,315156409,Air Force One,7678.076521,230156409
90000000,1999,497366869,Toy Story 2,4719.576802,407366869
90000000,1999,60289912,The Insider,1631.68771,-29710088
90000000,1999,161626121,Payback,3142.106432,71626121
110000000,2006,574480841,Night at the Museum,3619.024408,464480841
92000000,2000,264105545,Charlie's Angels,1979.642045,172105545
70000000,1991,300854823,Hook,1459.024594,230854823
94000000,2001,54744738,Driven,410.1194741,-39255262
93000000,2001,368780809,Jurassic Park III,2300.533542,275780809
93000000,2001,871368364,The Lord of the Rings: The Fellowship of the Ring,490.6421945,778368364
85000000,1998,71485043,What Dreams May Come,3763.785314,-13514957
80000000,1996,250200000,Space Jam,0.0,170200000
80000000,1996,309492681,Ransom,2006.919126,229492681
80000000,1996,457696359,Mission: Impossible,3672.131329,377696359
80000000,1996,159212469,Daylight,2515.696241,79212469
90000000,2000,60874615,Mission to Mars,1882.000823,-29125385
90000000,2000,237202299,Gone in Sixty Seconds,2201.77622,147202299
90000000,2000,429632142,Cast Away,5920.060344,339632142
90000000,2000,14828081,Supernova,182.2812646,-75171919
63000000,1988,189015611,Rambo III,1406.659183,126015611
110000000,2007,383531464,Live Free or Die Hard,5593.339187,273531464
110000000,2007,228738393,Ghost Rider,3275.961706,118738393
92000000,2001,172989651,Black Hawk Down,1538.255659,80989651
92000000,2001,143049560,Spy Game,2469.64467,51049560
100000000,2004,82102379,Catwoman,1492.770956,-17897621
100000000,2004,108103450,Hidalgo,3368.15251,8103450
100000000,2004,347451894,National Treasure,2632.081879,247451894
80000000,1997,245676146,Face/Off,1540.382463,165676146
80000000,1997,177977226,Flubber,3119.508053,97977226
80000000,1997,17626234,The Postman,3494.54785,-62373766
90000000,2001,10372291,Town & Country,732.918137,-79627709
90000000,2001,347325802,Rush Hour 2,679.7851266,257325802
65000000,1990,261317921,Total Recall,1553.854889,196317921
95000000,2003,156505388,Lara Croft Tomb Raider: The Cradle of Life,1121.469646,61505388
100000000,2005,202026112,Fun with Dick and Jane,4454.889045,102026112
70000000,1993,255000211,Cliffhanger,1780.496164,185000211
94000000,2003,940335536,Finding Nemo,48.27427294,846335536
94000000,2003,1118888979,The Lord of the Rings: The Return of the King,3227.219396,1024888979
85000000,2000,183611771,102 Dalmatians,1345.680984,98611771
80000000,1998,136159423,Lost in Space,1828.343489,56159423
65000000,1991,17218080,Hudson Hawk,834.3400364,-47781920
82000000,1999,47434430,Man on the Moon,3200.663791,-34565570
75000000,1996,335062621,The Rock,3259.209878,260062621
75000000,1996,816969268,Independence Day,1758.151426,741969268
84000000,2000,123307945,Nutty Professor II: The Klumps,3008.86414,39307945
100000000,2006,249288105,Eragon,842.8786331,149288105
100000000,2006,170877916,Blood Diamond,4132.625975,70877916
100000000,2006,384335608,Happy Feet,4480.140304,284335608
72000000,1995,210000000,Braveheart,986.0939917,138000000
83000000,2000,59468275,The Flintstones in Viva Rock Vegas,437.7636421,-23531725
85000000,2001,450717150,Ocean's Eleven,2469.64467,365717150
80000000,1999,91188905,The Haunting,660.1297795,11188905
80000000,1999,176885658,Analyze This,1386.922284,96885658
80000000,1999,90874570,Fantasia 2000,23.98827238,10874570
80000000,1999,118880016,Message in a Bottle,3367.95002,38880016
90000000,2003,182290266,The Haunted Mansion,4056.674213,92290266
82000000,2000,96085477,The 6th Day,5249.089097,14085477
75000000,1997,136982834,Conspiracy Theory,2526.470515,61982834
75000000,1997,224012234,Con Air,783.1530767,149012234
92000000,2004,631442092,The Incredibles,2774.883785,539442092
100000000,2007,266465037,American Gangster,2779.256204,166465037
55000000,1987,14375181,Ishtar,567.1951807,-40624819
46000000,1981,5200000,Inchon,10.51695602,-40800000
60000000,1990,157920733,Days of Thunder,2238.816181,97920733
105000000,2009,267045765,The Princess and the Frog,43.18901132,162045765
85000000,2002,78382433,Collateral Damage,5146.996552,-6617567
80000000,2000,33463969,Red Planet,2164.047349,-46536031
80000000,2000,34566746,Thirteen Days,3487.0712,-45433254
80000000,2000,39459427,The Legend of Bagger Vance,1577.258477,-40540573
90000000,2004,102000000,The Stepford Wives,1603.681093,12000000
73000000,1997,229074524,The Lost World: Jurassic Park,3210.151373,156074524
87000000,2003,148336445,Seabiscuit,398.1002702,61336445
75000000,1998,46683377,Practical Magic,1398.671407,-28316623
75000000,1998,14567883,Soldier,759.0161039,-60432117
75000000,1998,140464664,Deep Impact,572.0288924,65464664
75000000,1998,13100000,Sphere,2254.574675,-61900000
44000000,1980,3484331,Heaven's Gate,34.73193851,-40515669
84000000,2002,275650703,Scooby-Doo,332.6452427,191650703
70000000,1996,101371017,Mars Attacks!,1586.025968,31371017
85000000,2003,80916492,The Rundown,299.75863,-4083508
63000000,1993,920100000,Jurassic Park,29.46128196,857100000
73000000,1998,103891409,Snake Eyes,1783.662835,30891409
75000000,1999,19598588,The Astronaut's Wife,291.1904523,-55401412
75000000,1999,108000000,Three Kings,591.800088,33000000
75000000,1999,29000000,The Out-of-Towners,471.8834795,-46000000
97250400,2008,132900000,Asterix at the Olympic Games,0.0,35649600
100000000,2009,100086793,Where the Wild Things Are,415.7695287,86793
100000000,2009,150166126,The Taking of Pelham 1 2 3,3025.960182,50166126
100000000,2009,242988466,Cloudy with a Chance of Meatballs,864.9059284,142988466
100000000,2009,68688831,Land of the Lost,1205.486897,-31311169
70000000,1997,162000000,Alien: Resurrection,865.0471092,92000000
70000000,1997,131457682,Seven Years in Tibet,1616.957,61457682
55000000,1989,63408614,Tango & Cash,1811.075039,8408614
76000000,2000,35134820,The Adventures of Rocky & Bullwinkle,733.2922692,-40865180
88000000,2005,108539911,Cinderella Man,2342.488992,20539911
88000000,2005,105316267,The Brothers Grimm,3148.5481,17316267
80000000,2002,123729176,The Time Machine,513.4957196,43729176
80000000,2002,145771527,Lilo & Stitch,0.0,65771527
80000000,2002,181001478,Road to Perdition,6340.246738,101001478
80000000,2002,122563539,Spirit: Stallion of the Cimarron,2341.091186,42563539
90000000,2006,65900249,Flags of Our Fathers,375.901462,-24099751
90000000,2006,289847354,The Departed,4132.625975,199847354
71000000,1998,294456605,Doctor Dolittle,2107.833018,223456605
63000000,1994,25052000,Wyatt Earp,3060.256983,-37948000
73000000,1999,151493655,The Bone Collector,1618.05838,78493655
75000000,2000,296339527,X-Men,1264.33638,221339527
75000000,2000,248118121,Unbreakable,4670.531146,173118121
75000000,2000,215663859,Vertical Limit,1458.87903,140663859
75000000,2000,36754634,Titan A.E.,2083.122965,-38245366
79000000,2002,926287400,The Lord of the Rings: The Two Towers,1850.944469,847287400
68000000,1997,118063304,The Saint,1713.071682,50063304
70000000,1998,118000000,Star Trek: Insurrection,728.2244799,48000000
70000000,1998,481840909,Saving Private Ryan,3538.986625,411840909
70000000,1998,19870567,Hard Rain,2619.607106,-50129433
70000000,1998,218613188,The Prince of Egypt,1882.885222,148613188
70000000,1998,56702901,A Civil Action,1957.570498,-13297099
70000000,1998,116672912,The Siege,2428.312728,46672912
70000000,1998,164000000,Six Days Seven Nights,8272.303824,94000000
62000000,1994,215887717,Clear and Present Danger,7890.475099,153887717
78000000,2002,209196298,Red Dragon,1998.749362,131196298
85000000,2005,162242962,Memoirs of a Geisha,858.1349913,77242962
80000000,2003,68514844,Looney Tunes: Back in Action,947.4313312,-11485156
80000000,2003,484572835,Bruce Almighty,3823.913865,404572835
80000000,2003,116643346,S.W.A.T.,2596.816975,36643346
80000000,2003,19480739,Timeline,503.8754339,-60519261
80000000,2003,266728738,Something's Gotta Give,2180.175344,186728738
65000000,1996,89456761,The Long Kiss Goodnight,1092.777519,24456761
75000000,2001,67631903,Bandits,5255.602891,-7368097
75000000,2001,13596911,Osmosis Jones,929.8601246,-61403089
75000000,2001,54249294,Domestic Disturbance,2193.658063,-20750706
75000000,2001,5409517,Monkeybone,239.6992108,-69590483
92000000,2008,188072649,Tropic Thunder,4225.52758,96072649
54000000,1990,136766062,The Godfather: Part III,1111.755372,82766062
79000000,2003,173013509,Cold Mountain,1572.270075,94013509
70000000,1999,177841558,Double Jeopardy,2980.385633,107841558
70000000,1999,11263966,Chill Factor,705.3682937,-58736034
70000000,1999,23159305,The Iron Giant,828.0127315,-46840695
70000000,1999,309457509,Runaway Bride,2627.735292,239457509
86000000,2006,107944236,Arthur and the Invisibles,663.6480471,21944236
62000000,1995,107879496,The American President,1942.402079,45879496
60000000,1994,223664608,Interview with the Vampire,3399.440212,163664608
78000000,2003,179265204,The League of Extraordinary Gentlemen,3492.613265,101265204
85000000,2006,194168700,The Holiday,5143.30903,109168700
85000000,2006,158468292,The Fast and the Furious: Tokyo Drift,0.0,73468292
85000000,2006,197309027,Open Season,1775.42323,112309027
85000000,2006,144000000,Charlotte's Web,3986.956613,59000000
35000000,1976,35323292,The Bad News Bears,0.0,323292
80000000,2004,55041367,Spanglish,1018.180926,-24958633
80000000,2004,78000586,Exorcist: The Beginning,617.7745533,-1999414
80000000,2004,96105964,The Manchurian Candidate,2385.464546,16105964
80000000,2004,516642939,Meet the Fockers,2375.196281,436642939
90000000,2008,162839667,The Spiderwick Chronicles,867.0888609,72839667
90000000,2008,201596308,You Don't Mess with the Zohan,1845.075183,111596308
82000000,2005,190320568,The Longest Yard,1332.803704,108320568
75000000,2002,114660784,We Were Soldiers,4479.273066,39660784
68000000,1999,29762011,Mystery Men,736.7903773,-38237989
66000000,1998,189198313,The X Files,0.0,123198313
70000000,2000,374111707,What Women Want,3340.606064,304111707
86000000,2007,14373825,Awake,2078.086041,-71626175
72000000,2001,37317558,The Majestic,3940.687678,-34682442
72000000,2001,27642707,The Last Castle,943.0949458,-44357293
55000000,1992,149022650,Death Becomes Her,853.4316033,94022650
60000000,1995,35431113,Money Train,32.29361868,-24568887
60000000,1995,104324083,Under Siege 2: Dark Territory,115.3155439,44324083
76000000,2003,236350661,2 Fast 2 Furious,437.3632314,160350661
85000000,2007,340487652,Enchanted,253.2634662,255487652
